Passenger_ID,Flight_ID,Price_USD,Travel_Purpose,Seat_Class,Bags_Checked,Check_in_Method,Seat_Selected,Booking_Days_In_Advance,No_Show
P1,F68,148.42,Emergency,Business,2,Online,Window,91,1
P2,F1687,228.57,Family,Business,1,Airport Kiosk,Middle,45,0
P3,F1745,232.45,Business,Economy,0,Airport Kiosk,Middle,63,0
P4,F1514,526.43,Leisure,Business,0,Online,Window,57,0
P5,F1753,324.14,Family,Economy,2,Desk,Middle,58,0
P6,F1928,402.53,Emergency,Business,0,Online,Window,68,0
P7,F532,356.89,Emergency,Economy,0,Mobile App,Window,37,0
P8,F857,414.0,Emergency,Business,1,Airport Kiosk,Middle,49,0
P9,F16,201.48,Emergency,Economy,0,Online,Window,57,0
P10,F473,444.95,Emergency,Economy,1,Airport Kiosk,Aisle,116,0
P11,F960,218.26,Business,Business,1,Mobile App,Middle,87,0
P12,F170,338.0,Business,Premium Economy,1,Online,Middle,9,0
P13,F1171,388.83,Emergency,Economy,0,Desk,Window,115,0
P14,F1788,276.14,Business,Economy,0,Desk,Window,13,0
P15,F377,359.22,Business,Business,0,Desk,Window,87,0
P16,F484,361.83,Business,Business,1,Mobile App,Middle,84,0
P17,F1631,222.65,Emergency,Premium Economy,0,Online,Middle,76,0
P18,F170,439.21,Family,Premium Economy,0,Mobile App,Window,8,0
P19,F478,215.42,Emergency,Economy,0,Airport Kiosk,Aisle,88,0
P20,F362,496.54,Leisure,Economy,0,Mobile App,Aisle,24,0
P21,F1143,388.72,Emergency,Premium Economy,0,Mobile App,Middle,59,0
P22,F39,271.2,Family,Economy,1,Airport Kiosk,Window,52,1
P23,F1663,248.89,Business,Economy,1,Mobile App,Window,10,0
P24,F290,192.0,Leisure,Economy,2,Online,Window,66,0
P25,F888,243.87,Leisure,Economy,0,Online,Middle,92,0
P26,F1447,406.52,Leisure,Economy,1,Online,Aisle,94,0
P27,F47,333.59,Leisure,Premium Economy,0,Online,Window,70,0
P28,F556,197.8,Business,Economy,3,Airport Kiosk,Window,24,0
P29,F427,219.61,Emergency,Economy,1,Desk,Aisle,64,0
P30,F939,420.26,Family,Economy,1,Mobile App,Middle,114,0
P31,F922,349.5,Leisure,Economy,1,Desk,Middle,45,0
P32,F127,325.89,Business,Economy,1,Online,Window,63,0
P33,F602,416.78,Leisure,Economy,1,Airport Kiosk,Window,109,0
