Passenger_ID,Age,Gender,Income_Level,Frequent_Flyer_Status
P1,47,Male,Medium,Platinum
P2,30,Female,Low,Gold
P3,46,Male,Low,Silver
P4,75,Female,Medium,Platinum
P5,23,Male,High,Silver
P6,28,Female,Low,
P7,69,Female,Low,Silver
P8,59,Male,Medium,
P9,50,Female,Medium,Gold
P10,60,Female,Medium,Platinum
P11,77,Male,Medium,
P12,39,Male,Medium,Gold
P13,28,Female,Medium,
P14,38,Female,Low,Silver
P15,20,Male,Low,Gold
P16,73,Male,Low,
P17,19,Female,Medium,
P18,18,Female,Low,
P19,64,Male,Medium,Gold
P20,20,Male,Medium,Platinum
P21,22,Male,Medium,
P22,29,Male,Medium,Gold
P23,54,Male,High,
P24,60,Female,Low,Gold
P25,55,Female,Medium,
P26,34,Male,Medium,
P27,51,Male,Low,Gold
P28,75,Male,Medium,
P29,54,Male,Medium,Gold
P30,31,Female,High,
P31,45,Female,Medium,
P32,49,Male,Medium,Platinum
P33,37,Male,High,Silver
P34,76,Female,Medium,
P35,44,Male,Medium,
P36,31,Female,High,Silver
P37,70,Female,Low,Gold
P38,69,Male,High,Silver
P39,60,Female,Medium,Silver
P40,44,Male,Medium,Silver
P41,66,Female,Low,
P42,21,Male,Medium,
P43,50,Female,Medium,
P44,42,Female,Medium,Silver
P45,72,Female,High,
P46,30,Male,Low,Silver
P47,37,Male,Medium,
P48,38,Male,High,Gold
P49,25,Male,Medium,
P50,29,Male,High,
P51,39,Female,Medium,Platinum
P52,67,Female,Low,
P53,22,Male,Medium,
P54,42,Male,Medium,
P55,54,Female,Low,Platinum
P56,18,Male,Medium,
P57,41,Male,Low,Gold
P58,79,Female,Low,Gold
P59,31,Male,Medium,
P60,25,Male,Low,
P61,18,Female,High,
P62,44,Male,High,
P63,75,Male,Medium,
P64,24,Female,Low,Gold
P65,69,Female,High,
P66,76,Male,Medium,Silver
P67,56,Male,Low,
P68,54,Male,Medium,Silver
P69,53,Female,High,
P70,29,Female,Low,Gold
P71,62,Male,Medium,Platinum
P72,34,Female,High,
P73,42,Male,Low,Silver
P74,64,Female,Medium,Platinum
P75,29,Male,Low,
P76,22,Male,Low,Gold
P77,58,Male,Medium,
P78,27,Female,Medium,Silver
P79,27,Female,Medium,Silver
P80,59,Male,Low,Gold
P81,25,Female,Low,Gold
P82,51,Female,High,Platinum
P83,48,Male,Medium,Gold
P84,40,Male,Low,
P85,67,Male,High,
P86,30,Male,Low,Silver
P87,66,Male,Low,
P88,39,Male,Medium,
P89,20,Male,High,Gold
P90,57,Male,Medium,
P91,40,Female,Medium,Platinum
P92,37,Female,Low,Gold
P93,55,Female,Medium,
P94,55,Male,Low,
P95,62,Male,Low,Silver
P96,74,Male,Low,
P97,36,Female,Medium,Gold
P98,37,Male,Medium,Silver
P99,56,Male,Medium,Silver
P100,73,Female,Low,
P101,25,Male,Low,Silver
P102,73,Male,Low,Silver
P103,64,Female,High,
P104,59,Male,High,
P105,51,Female,High,Silver
P106,42,Male,Medium,Silver
P107,75,Male,High,Silver
P108,30,Male,Medium,
P109,53,Male,Medium,
P110,47,Female,Medium,Platinum
P111,74,Female,Medium,
P112,29,Female,High,Silver
P113,62,Male,Medium,Platinum
P114,29,Male,Medium,Gold
P115,63,Female,High,
