Passenger_ID,Flight_ID,Price_USD,Travel_Purpose,Seat_Class,Bags_Checked,Check_in_Method,Seat_Selected,Booking_Days_In_Advance,No_Show,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Departure_Date,Departure_Hour,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Delay_Minutes,Weather_Impact,date,Airport,temp,tmin,tmax,prcp,wspd,Route
P1,F68,148.42,Emergency,Business,2,Online,Window,91,1,Southwest,JFK,ATL,2024-03-27 06:22:00,2024-03-27,06:22:00,161,On-time,803,0,1,2024-03-27,JFK,6.7,4.4,10.0,2.8,8.6,JFK-ATL
P2,F1687,228.57,Family,Business,1,Airport Kiosk,Middle,45,0,Southwest,JFK,DFW,2024-12-28 09:18:00,2024-12-28,09:18:00,130,On-time,1605,2,0,2024-12-28,JFK,6.6,5.0,10.6,16.5,5.4,JFK-DFW
P3,F1745,232.45,Business,Economy,0,Airport Kiosk,Middle,63,0,United,ORD,ORD,2024-05-23 23:28:00,2024-05-23,23:28:00,169,On-time,908,0,0,2024-05-23,ORD,20.6,14.4,27.2,0.0,9.4,ORD-ORD
P4,F1514,526.43,Leisure,Business,0,Online,Window,57,0,Delta,SEA,ORD,2023-10-31 08:09:00,2023-10-31,08:09:00,227,On-time,63,9,1,2023-10-31,SEA,6.6,2.2,11.7,0.0,2.9,SEA-ORD
P5,F1753,324.14,Family,Economy,2,Desk,Middle,58,0,Southwest,LAX,JFK,2025-01-17 22:21:00,2025-01-17,22:21:00,150,On-time,628,3,0,2025-01-17,LAX,12.0,7.2,15.6,0.0,9.4,LAX-JFK
P6,F1928,402.53,Emergency,Business,0,Online,Window,68,0,Delta,SFO,LAX,2025-02-15 01:17:00,2025-02-15,01:17:00,155,On-time,1409,11,0,2025-02-15,SFO,9.6,5.6,13.9,0.0,6.5,SFO-LAX
P7,F532,356.89,Emergency,Economy,0,Mobile App,Window,37,0,Delta,ATL,SEA,2024-10-30 14:20:00,2024-10-30,14:20:00,170,On-time,794,17,0,2024-10-30,ATL,20.1,16.7,26.7,0.0,14.4,ATL-SEA
P8,F857,414.0,Emergency,Business,1,Airport Kiosk,Middle,49,0,Delta,DFW,LAX,2023-11-12 13:05:00,2023-11-12,13:05:00,82,On-time,1273,11,0,2023-11-12,DFW,15.1,10.6,18.3,0.0,4.6,DFW-LAX
P9,F16,201.48,Emergency,Economy,0,Online,Window,57,0,American Airlines,ATL,SEA,2023-11-16 00:44:00,2023-11-16,00:44:00,191,On-time,1196,16,0,2023-11-16,ATL,15.7,12.2,21.1,0.0,17.6,ATL-SEA
P10,F473,444.95,Emergency,Economy,1,Airport Kiosk,Aisle,116,0,United,DEN,JFK,2025-04-18 01:27:00,2025-04-18,01:27:00,201,On-time,1115,1,1,2025-04-18,DEN,0.8,-1.6,2.2,3.8,16.6,DEN-JFK
