Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Departure_Date,Departure_Hour,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Delay_Minutes,Weather_Impact
F68,Southwest,JFK,ATL,2024-03-27 06:22:00,2024-03-27,06:22:00,161,On-time,803,0,1
F1687,Southwest,JFK,DFW,2024-12-28 09:18:00,2024-12-28,09:18:00,130,On-time,1605,2,0
F1745,United,ORD,ORD,2024-05-23 23:28:00,2024-05-23,23:28:00,169,On-time,908,0,0
F1514,Delta,SEA,ORD,2023-10-31 08:09:00,2023-10-31,08:09:00,227,On-time,63,9,1
F1753,Southwest,LAX,JFK,2025-01-17 22:21:00,2025-01-17,22:21:00,150,On-time,628,3,0
F1928,Delta,SFO,LAX,2025-02-15 01:17:00,2025-02-15,01:17:00,155,On-time,1409,11,0
F532,Delta,ATL,SEA,2024-10-30 14:20:00,2024-10-30,14:20:00,170,On-time,794,17,0
F857,Delta,DFW,LAX,2023-11-12 13:05:00,2023-11-12,13:05:00,82,On-time,1273,11,0
F16,American Airlines,ATL,SEA,2023-11-16 00:44:00,2023-11-16,00:44:00,191,On-time,1196,16,0
F473,United,DEN,JFK,2025-04-18 01:27:00,2025-04-18,01:27:00,201,On-time,1115,1,1
F960,United,SEA,SFO,2024-04-29 10:38:00,2024-04-29,10:38:00,245,On-time,818,4,0
F170,JetBlue,DFW,ATL,2023-06-20 14:41:00,2023-06-20,14:41:00,101,On-time,1148,7,0
F1171,American Airlines,DFW,ORD,2024-02-28 01:57:00,2024-02-28,01:57:00,108,Delayed,1167,13,0
F1788,United,DEN,JFK,2024-09-18 07:37:00,2024-09-18,07:37:00,237,On-time,1544,3,0
F377,Southwest,JFK,DEN,2024-05-13 12:05:00,2024-05-13,12:05:00,188,On-time,596,8,0
F484,Southwest,SEA,SEA,2023-05-12 20:15:00,2023-05-12,20:15:00,228,On-time,1256,3,0
F1631,JetBlue,DFW,ORD,2023-10-19 19:34:00,2023-10-19,19:34:00,85,On-time,1012,11,0
F478,JetBlue,DFW,SFO,2024-01-26 01:03:00,2024-01-26,01:03:00,167,Delayed,1240,4,0
F362,JetBlue,ATL,JFK,2024-09-19 00:55:00,2024-09-19,00:55:00,83,On-time,1387,2,0
F1143,Southwest,ATL,LAX,2023-11-16 21:04:00,2023-11-16,21:04:00,248,On-time,1004,4,0
F39,Delta,ORD,DEN,2023-08-24 21:38:00,2023-08-24,21:38:00,229,On-time,1278,9,1
F1663,American Airlines,SFO,SEA,2025-02-11 07:57:00,2025-02-11,07:57:00,87,On-time,902,3,0
F290,JetBlue,LAX,SEA,2023-05-25 00:18:00,2023-05-25,00:18:00,256,Cancelled,1328,16,0
F888,JetBlue,ORD,JFK,2023-08-06 21:18:00,2023-08-06,21:18:00,238,On-time,959,6,0
F1447,United,ORD,LAX,2024-05-26 10:14:00,2024-05-26,10:14:00,138,On-time,1397,6,0
F47,Delta,ATL,LAX,2025-02-06 21:23:00,2025-02-06,21:23:00,117,On-time,1059,14,0
F556,United,SEA,SEA,2023-06-30 13:32:00,2023-06-30,13:32:00,169,On-time,1403,7,0
F427,American Airlines,SFO,DFW,2025-01-13 20:17:00,2025-01-13,20:17:00,192,On-time,1096,2,1
F939,American Airlines,DEN,LAX,2023-06-06 21:53:00,2023-06-06,21:53:00,145,On-time,1272,11,0
F922,Southwest,ORD,ATL,2023-12-11 09:10:00,2023-12-11,09:10:00,100,Cancelled,1615,7,0
F127,JetBlue,DEN,JFK,2024-03-20 19:22:00,2024-03-20,19:22:00,224,On-time,875,2,0
F602,United,SFO,LAX,2024-09-19 07:53:00,2024-09-19,07:53:00,241,Delayed,1188,0,0
F186,American Airlines,LAX,ATL,2023-07-06 20:34:00,2023-07-06,20:34:00,115,On-time,1622,14,1
F699,American Airlines,ORD,SFO,2024-01-09 11:27:00,2024-01-09,11:27:00,146,On-time,1435,0,0
F215,Delta,LAX,DFW,2024-01-30 02:16:00,2024-01-30,02:16:00,218,On-time,2558,7,0
F1221,American Airlines,DFW,JFK,2023-08-18 11:53:00,2023-08-18,11:53:00,262,Cancelled,1198,8,0
F117,American Airlines,DFW,SFO,2023-08-14 12:46:00,2023-08-14,12:46:00,187,On-time,986,16,0
F807,JetBlue,ATL,LAX,2024-06-25 08:10:00,2024-06-25,08:10:00,291,On-time,1030,3,0
F657,Delta,ATL,LAX,2024-10-16 09:50:00,2024-10-16,09:50:00,92,On-time,1231,0,0
F1353,American Airlines,JFK,ATL,2023-11-15 21:25:00,2023-11-15,21:25:00,182,Delayed,938,13,0
F1179,Delta,LAX,DEN,2023-11-14 06:00:00,2023-11-14,06:00:00,92,On-time,1458,0,1
F1036,Southwest,DFW,ATL,2025-04-18 01:08:00,2025-04-18,01:08:00,179,On-time,925,28,0
F229,American Airlines,SFO,SEA,2023-12-13 06:55:00,2023-12-13,06:55:00,218,On-time,1241,14,0
F1553,JetBlue,ORD,DEN,2024-03-31 08:11:00,2024-03-31,08:11:00,158,On-time,1134,8,0
F1759,JetBlue,LAX,ORD,2023-08-28 02:18:00,2023-08-28,02:18:00,165,On-time,1479,9,0
F726,JetBlue,JFK,DFW,2025-01-20 05:45:00,2025-01-20,05:45:00,89,Cancelled,1096,1,0
F121,Southwest,DEN,SFO,2025-01-16 00:19:00,2025-01-16,00:19:00,261,Delayed,1301,6,0
F1441,JetBlue,JFK,DEN,2023-06-05 23:34:00,2023-06-05,23:34:00,145,On-time,1441,26,0
F1698,JetBlue,DEN,JFK,2023-05-23 17:58:00,2023-05-23,17:58:00,268,On-time,1286,11,0
F1577,JetBlue,SEA,LAX,2025-02-09 16:35:00,2025-02-09,16:35:00,193,On-time,1204,8,0
F670,JetBlue,JFK,JFK,2024-02-07 02:13:00,2024-02-07,02:13:00,29,On-time,703,2,1
F1540,Southwest,ATL,ATL,2023-10-11 12:39:00,2023-10-11,12:39:00,173,On-time,1071,5,1
F1222,Southwest,DFW,SFO,2024-05-16 12:49:00,2024-05-16,12:49:00,59,Delayed,898,18,1
F1537,United,DFW,DEN,2024-11-18 12:59:00,2024-11-18,12:59:00,77,On-time,1149,15,0
F1982,United,ORD,ATL,2023-06-28 10:28:00,2023-06-28,10:28:00,115,On-time,1188,12,0
F1995,United,ATL,DEN,2024-09-10 08:04:00,2024-09-10,08:04:00,261,On-time,1143,3,0
F571,United,SFO,ORD,2024-01-12 19:55:00,2024-01-12,19:55:00,157,On-time,974,2,0
F1972,Delta,JFK,DFW,2025-02-01 03:06:00,2025-02-01,03:06:00,233,On-time,1440,8,0
F959,JetBlue,SEA,LAX,2023-10-01 19:16:00,2023-10-01,19:16:00,180,Delayed,1101,51,0
F237,JetBlue,DEN,ATL,2025-04-10 04:15:00,2025-04-10,04:15:00,216,On-time,803,5,0
F1,United,DFW,SEA,2024-02-17 13:14:00,2024-02-17,13:14:00,168,On-time,1388,56,0
F444,United,ATL,LAX,2023-11-13 03:11:00,2023-11-13,03:11:00,275,On-time,1242,1,0
F1874,American Airlines,LAX,DEN,2023-07-12 07:10:00,2023-07-12,07:10:00,181,On-time,1097,4,0
F109,Southwest,LAX,JFK,2024-02-19 18:47:00,2024-02-19,18:47:00,148,On-time,1452,22,0
F530,American Airlines,DFW,ORD,2024-12-01 02:09:00,2024-12-01,02:09:00,93,Delayed,1698,2,0
F1668,Southwest,LAX,DEN,2023-06-01 07:19:00,2023-06-01,07:19:00,147,On-time,1589,6,0
F751,American Airlines,SEA,ORD,2023-10-02 13:56:00,2023-10-02,13:56:00,98,On-time,1058,9,0
F1731,American Airlines,SEA,DFW,2023-09-30 21:20:00,2023-09-30,21:20:00,274,Delayed,1483,5,1
F1956,Southwest,SEA,DFW,2023-12-19 05:14:00,2023-12-19,05:14:00,182,Delayed,1298,8,0
F899,JetBlue,LAX,DFW,2023-09-09 10:02:00,2023-09-09,10:02:00,229,On-time,595,19,0
F1648,Delta,DEN,ATL,2024-04-14 18:13:00,2024-04-14,18:13:00,205,On-time,1572,11,0
F771,Delta,DFW,DFW,2024-11-13 20:10:00,2024-11-13,20:10:00,282,On-time,1074,7,0
F826,JetBlue,ATL,SEA,2024-04-11 04:24:00,2024-04-11,04:24:00,230,On-time,1585,3,0
F1892,JetBlue,ATL,DEN,2023-08-26 15:03:00,2023-08-26,15:03:00,174,On-time,1263,0,0
F1831,American Airlines,ORD,DFW,2023-05-06 20:07:00,2023-05-06,20:07:00,198,On-time,1022,10,0
F1272,Southwest,ORD,DEN,2025-03-14 20:19:00,2025-03-14,20:19:00,176,On-time,859,8,0
F1993,American Airlines,ATL,ORD,2024-05-06 07:46:00,2024-05-06,07:46:00,173,On-time,950,11,0
F1742,Southwest,JFK,SEA,2023-12-20 12:20:00,2023-12-20,12:20:00,153,On-time,1061,3,1
F1367,Delta,LAX,DEN,2024-06-25 04:17:00,2024-06-25,04:17:00,167,On-time,1178,24,0
F740,American Airlines,DEN,DEN,2024-04-12 04:12:00,2024-04-12,04:12:00,201,On-time,1042,22,1
F36,United,DFW,DFW,2024-12-01 06:57:00,2024-12-01,06:57:00,193,On-time,1434,4,0
F1141,United,JFK,ATL,2024-03-18 03:44:00,2024-03-18,03:44:00,256,On-time,895,7,1
F582,American Airlines,ORD,LAX,2024-09-23 20:10:00,2024-09-23,20:10:00,227,On-time,1566,8,0
