Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P1,F68,Southwest,JFK,ATL,27/03/2024 6:22,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,6.9,0,91,1,1,Window
P2,F1687,Southwest,JFK,DFW,28/12/2024 9:18,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,5.3,2,45,0,0,Middle
P3,F1745,United,ORD,ORD,23/05/2024 23:28,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,7,0,63,0,0,Middle
P4,F1514,Delta,SEA,ORD,31/10/2023 8:09,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,4.8,9,57,0,1,Window
P5,F1753,Southwest,LAX,JFK,17/01/2025 22:21,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,4.4,3,58,0,0,Middle
P6,F1928,Delta,SFO,LAX,15/02/2025 1:17,155,On-time,1409,402.53,28,Female,Low,Emergency,Business,0,None,Online,4.4,11,68,0,0,Window
P7,F532,Delta,ATL,SEA,30/10/2024 14:20,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,4.9,17,37,0,0,Window
P8,F857,Delta,DFW,LAX,12/11/2023 13:05,82,On-time,1273,414,59,Male,Medium,Emergency,Business,1,None,Airport Kiosk,3.5,11,49,0,0,Middle
P9,F16,American Airlines,ATL,SEA,16/11/2023 0:44,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,8.2,16,57,0,0,Window
P10,F473,United,DEN,JFK,18/04/2025 1:27,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.3,1,116,0,1,Aisle
P11,F960,United,SEA,SFO,29/04/2024 10:38,245,On-time,818,218.26,77,Male,Medium,Business,Business,1,None,Mobile App,8.5,4,87,0,0,Middle
P12,F170,JetBlue,DFW,ATL,20/06/2023 14:41,101,On-time,1148,338,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.9,7,9,0,0,Middle
P13,F1171,American Airlines,DFW,ORD,28/02/2024 1:57,108,Delayed,1167,388.83,28,Female,Medium,Emergency,Economy,0,None,Desk,5.4,13,115,0,0,Window
P14,F1788,United,DEN,JFK,18/09/2024 7:37,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,5.1,3,13,0,0,Window
