date,Airport,temp,tmin,tmax,prcp,wspd
2023-04-23,JFK,14.9,10.6,20.6,32.0,16.9
2023-04-24,JFK,11.4,6.7,15.0,0.0,18.4
2023-04-25,JFK,11.1,7.2,14.4,0.0,13.7
2023-04-26,JFK,9.9,5.6,13.3,0.0,15.1
2023-04-27,JFK,10.9,8.9,13.9,0.0,12.2
2023-04-28,JFK,10.2,7.8,12.2,9.4,19.8
2023-04-29,JFK,10.2,8.9,11.1,44.5,29.5
2023-04-30,JFK,12.0,10.0,15.0,34.5,17.6
2023-05-01,JFK,13.4,9.4,16.7,0.8,28.1
2023-05-02,JFK,11.1,7.8,13.9,2.5,23.0
2023-05-03,JFK,10.6,8.3,13.3,0.3,16.9
2023-05-04,JFK,10.2,8.3,13.3,4.1,15.1
2023-05-05,JFK,11.3,6.7,16.1,0.0,10.8
2023-05-06,JFK,14.3,8.9,22.2,0.0,13.0
2023-05-07,JFK,16.2,11.7,22.8,0.0,16.2
2023-05-08,JFK,19.1,13.9,25.6,0.0,16.2
2023-05-09,JFK,15.8,10.0,17.2,0.0,13.7
2023-05-10,JFK,12.9,6.7,18.9,0.0,14.0
2023-05-11,JFK,16.8,10.6,23.9,0.0,15.8
2023-05-12,JFK,20.2,13.3,28.3,0.0,14.8
2023-05-13,JFK,21.9,17.8,26.7,0.0,15.5
2023-05-14,JFK,18.3,13.3,20.6,0.0,13.3
2023-05-15,JFK,16.4,10.6,22.2,0.0,19.4
2023-05-16,JFK,19.2,13.3,25.6,0.0,21.6
2023-05-17,JFK,17.7,9.4,20.0,0.0,25.9
2023-05-18,JFK,11.1,5.6,13.9,0.0,16.9
2023-05-19,JFK,13.8,10.6,18.9,0.0,19.1
2023-05-20,JFK,15.3,13.9,17.2,41.9,15.1
2023-05-21,JFK,17.4,13.3,22.2,0.0,21.2
2023-05-22,JFK,18.1,12.2,23.3,0.0,15.8
2023-05-23,JFK,14.6,11.1,18.3,0.0,13.7
2023-05-24,JFK,14.4,9.4,20.6,0.3,13.7
2023-05-25,JFK,14.9,9.4,20.0,0.0,23.0
2023-05-26,JFK,16.7,10.6,22.8,0.0,13.7
2023-05-27,JFK,17.4,10.0,22.8,0.0,12.2
2023-05-28,JFK,17.1,12.8,21.7,0.0,13.0
2023-05-29,JFK,18.4,13.3,23.9,0.0,22.0
2023-05-30,JFK,15.1,10.0,18.9,0.0,16.9
2023-05-31,JFK,14.7,8.9,21.1,0.0,8.3
2023-06-01,JFK,18.7,13.9,24.4,0.0,8.6
2023-06-02,JFK,20.1,15.6,26.1,0.5,10.1
2023-06-03,JFK,18.6,12.2,21.1,0.0,17.6
2023-06-04,JFK,14.6,9.4,21.1,0.0,16.9
2023-06-05,JFK,17.2,10.0,25.0,0.0,16.9
2023-06-06,JFK,19.2,15.0,25.0,0.8,16.6
2023-06-07,JFK,18.1,13.3,22.2,0.0,19.8
2023-06-08,JFK,16.9,10.6,21.7,0.0,9.0
2023-06-09,JFK,17.6,14.4,22.2,1.5,12.2
2023-06-10,JFK,18.6,13.3,26.7,0.8,16.9
2023-06-11,JFK,20.1,16.7,24.4,0.5,16.2
2023-06-12,JFK,20.4,18.3,24.4,4.6,20.5
2023-06-13,JFK,21.2,17.8,26.7,0.0,19.4
2023-06-14,JFK,19.7,16.1,22.2,6.1,20.2
2023-06-15,JFK,20.5,16.1,26.7,0.0,19.8
2023-06-16,JFK,20.5,16.1,25.6,5.1,10.4
2023-06-17,JFK,20.1,15.6,27.2,0.0,23.0
2023-06-18,JFK,21.6,17.8,27.8,0.0,16.6
2023-06-19,JFK,20.7,17.2,25.0,0.0,14.4
2023-06-20,JFK,19.5,16.1,23.9,0.0,16.6
2023-06-21,JFK,18.3,15.6,22.2,0.0,23.4
2023-06-22,JFK,18.3,14.4,22.8,0.0,18.7
2023-06-23,JFK,18.7,17.2,21.1,0.0,14.4
2023-06-24,JFK,20.4,18.9,24.4,0.8,13.0
2023-06-25,JFK,22.4,18.3,28.3,0.0,10.1
2023-06-26,JFK,22.2,20.0,27.2,0.3,15.5
2023-06-27,JFK,21.9,18.9,25.6,0.5,15.5
2023-06-28,JFK,22.5,19.4,28.3,4.3,11.2
2023-06-29,JFK,22.9,18.3,27.8,0.0,14.4
2023-06-30,JFK,22.8,19.4,28.3,0.0,13.7
2023-07-01,JFK,22.3,18.3,26.7,0.0,13.7
2023-07-02,JFK,23.5,20.6,28.9,11.9,15.5
2023-07-03,JFK,25.7,22.8,30.6,4.6,15.1
2023-07-04,JFK,24.6,22.2,27.8,3.6,9.4
2023-07-05,JFK,25.5,21.1,31.1,0.0,11.9
2023-07-06,JFK,25.1,21.7,28.9,0.0,12.2
